delivery_id,assigned_agent,priority,region,delivery_mode,distance_km,package_weight_kg,delivery_cost,cost_per_km,delivery_rating,delivery_status,is_delayed,perf_score,route_cluster,lat,lon
1,Agent Alpha,High,west,same day,297.0,46.96,1632.7206,5.497375757575758,3,delivered,0,84.0,0,22.247240713084175,70.15422503565537
2,Agent Alpha,High,central,express,89.6,47.39,640.17,7.144754464285715,5,delivered,0,100.0,1,25.904285838459497,74.76452237752812
3,Agent Gamma,Medium,east,two day,273.5,26.89,1448.17,5.294954296160878,4,delivered,0,92.0,0,23.99196365086843,89.02515170446199
4,Agent Beta,High,east,same day,269.7,12.69,1486.57,5.511939191694475,3,delivered,0,84.0,0,23.19195090518222,91.19669793495653
5,Agent Beta,Medium,north,two day,256.7,37.02,1394.56,5.432645111024542,4,delivered,0,92.0,0,26.636111842654618,77.11632785372834
6,Agent Alpha,High,west,express,48.4,33.15,391.45,8.087809917355372,3,delayed,1,36.5,3,20.935967122017217,69.90909135563582
7,Agent Beta,High,central,same day,198.3,43.79,1222.87,6.166767523953605,3,delivered,0,84.0,4,20.548501673009195,75.72731193646474
8,Agent Beta,High,north,same day,114.6,42.63,800.89,6.988568935427574,3,delivered,0,84.0,2,30.89705687464961,75.56875743849461
9,Agent Gamma,High,south,same day,142.4,14.06,854.18,5.9984550561797745,5,delivered,0,100.0,2,13.506690070459253,79.2271427748217
10,Agent Beta,High,east,same day,47.1,29.28,423.34,8.988110403397027,5,delivered,0,100.0,1,23.848435466776273,85.66162030151727
11,Agent Gamma,High,east,same day,293.2,22.05,1632.15,5.566678035470669,4,delivered,0,92.0,0,19.723506965774817,90.8293562029875
12,Agent Gamma,Medium,east,two day,80.4,46.48,541.44,6.7343283582089555,5,delivered,0,100.0,1,25.419459112971968,88.49338366832897
13,Agent Beta,Medium,north,two day,257.7,20.56,1350.18,5.239348079161816,4,delivered,0,92.0,0,30.69465584480253,78.12558475772465
14,Agent Beta,High,east,express,19.0,3.36,155.08,8.162105263157896,1,failed,1,16.333333333333332,3,20.874034664069658,85.80303702137006
15,Agent Beta,Medium,east,two day,237.9,24.59,1263.27,5.3100882723833545,3,delivered,0,84.0,4,20.690949803242606,85.7246928068219
16,Agent Beta,High,north,express,239.3,11.67,1281.51,5.355244463017133,3,delayed,1,42.75,4,26.8004270591206,77.61880663224328
17,Agent Beta,Low,west,standard,79.0,0.73,397.19,5.027721518987342,5,delivered,0,100.0,3,21.825453457757227,74.92377606302524
18,Agent Alpha,Low,central,standard,170.7,45.62,990.36,5.801757469244289,5,delivered,0,100.0,2,23.348538589793428,77.57089200575729
19,Agent Gamma,High,north,same day,90.0,33.7,651.1,7.234444444444445,3,delivered,0,84.0,1,28.291670111852696,79.36691503542042
20,Agent Gamma,High,north,express,64.0,6.03,388.09,6.06390625,2,failed,1,26.714285714285715,3,27.44737484118825,78.96594763833143
21,Agent Gamma,Medium,east,two day,185.9,19.1,986.8,5.308230231307154,4,delivered,0,92.0,2,23.271117368334277,85.85512271476954
22,Agent Gamma,Medium,west,two day,217.9,14.08,1131.74,5.193850390087196,4,delivered,0,92.0,4,20.83696316391225,70.81174484631413
23,Agent Gamma,High,north,same day,214.1,40.85,1293.05,6.039467538533396,5,delivered,0,100.0,4,27.45286789121131,78.04626401493205
24,Agent Beta,Low,central,standard,251.7,34.9,1363.2,5.415971394517283,4,delivered,0,92.0,0,22.39817105976215,77.06100829530025
25,Agent Gamma,Low,east,standard,214.9,5.67,1091.51,5.079153094462541,5,delivered,0,100.0,4,22.33641990530222,87.14419888188152
26,Agent Beta,Medium,north,two day,115.4,0.67,578.59,5.013778162911612,4,delivered,0,92.0,1,30.411055768358082,76.61180313628788
